id,name,height,weight,hp,attack,defense,s_attack,s_defense,speed,type,evo_set,info,total_stats,physical_bias,offensive_bias,stat_variance,weight_height_ratio,evo_set_size,hp_category,attack_category,defense_category,s_attack_category,s_defense_category,speed_category,total_stats_category
232,donphan,11,1200,90,120,120,60,60,50,{ground},119,"It has sharp, hard tusks and a rugged hide. Its TACKLE is strong enough to knock down a house.",500,2.0,1.0,822.2222222222223,109.0909090909091,2,High,High,High,Low,Low,Low,High
233,porygon2,6,325,85,80,90,105,95,60,{normal},68,"This upgraded version of PORYGON is designed for space exploration. It can't fly, though.",515,0.85,1.0,195.1388888888889,54.166666666666664,3,Medium,Medium,Medium,High,High,Low,High
234,stantler,14,712,73,95,62,85,65,85,{normal},120,The curved antlers subtly change the flow of air to create a strange space where real­ ity is distorted.,465,1.0466666666666666,1.4173228346456692,139.25,50.857142857142854,2,Medium,Medium,Low,Medium,Low,Medium,Medium
235,smeargle,12,580,55,20,35,20,45,75,{normal},121,A special fluid oozes from the tip of its tail. It paints the fluid everywhere to mark its territory.,250,0.8461538461538461,0.5,380.5555555555555,48.333333333333336,1,Low,Very Low,Very Low,Very Low,Very Low,Medium,Very Low
236,tyrogue,7,210,35,35,35,35,35,35,{fighting},47,"It is always bursting with en­ ergy. To make it­ self stronger, it keeps on fighting even if it loses.",210,1.0,1.0,0.0,30.0,4,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
237,hitmontop,14,480,50,95,95,35,110,70,{fighting},47,"If you become enchanted by its smooth, elegant, dance-like kicks, you may get drilled hard.",455,1.3103448275862069,0.6341463414634146,711.8055555555555,34.285714285714285,4,Very Low,Medium,High,Very Low,High,Medium,Medium
238,smoochum,4,60,45,30,15,85,65,65,"{ice,psychic}",59,Its lips are the most sensitive parts on its body. It always uses its lips first to examine things.,305,0.3,1.4375,553.4722222222222,15.0,2,Very Low,Very Low,Very Low,Medium,Low,Low,Very Low
239,elekid,6,235,45,63,37,65,55,95,{electric},60,"It rotates its arms to generate electricity, but it tires easily, so it charges up only a little bit.",360,0.8333333333333334,1.391304347826087,339.6666666666667,39.166666666666664,3,Very Low,Low,Very Low,Low,Low,High,Low
240,magby,7,214,45,75,37,70,55,83,{fire},61,"Each and every time it inhales and exhales, hot embers dribble out of its mouth and nostrils.",365,0.896,1.576086956521739,271.47222222222223,30.571428571428573,3,Very Low,Low,Very Low,Medium,Low,Medium,Low
241,miltank,12,755,95,80,105,40,70,100,{normal},122,"Its milk is packed with nutrition, making it the ultimate beverage for the sick or weary.",490,1.6818181818181819,0.6857142857142857,488.8888888888889,62.916666666666664,1,High,Medium,High,Very Low,Medium,High,High
242,blissey,15,468,255,10,10,75,135,55,{normal},51,Anyone who takes even one bite of BLISSEY's egg be­ comes unfailingly caring and pleas­ ant to everyone.,540,0.09523809523809523,0.5862068965517241,7250.0,31.2,3,High,Very Low,Very Low,Medium,High,Low,Very High
243,raikou,19,1780,90,85,75,115,100,115,{electric},123,The rain clouds it carries let it fire thunderbolts at will. They say that it descended with lightning.,580,0.7441860465116279,1.1428571428571428,222.2222222222222,93.6842105263158,1,High,Medium,Medium,High,High,High,Very High
244,entei,21,1980,115,115,85,90,75,100,{fire},124,"Volcanoes erupt when it barks. Un­ able to restrain its extreme power, it races headlong around the land.",580,1.2121212121212122,1.28125,222.2222222222222,94.28571428571429,1,High,High,Medium,Medium,Medium,High,Very High
245,suicune,20,1870,100,75,115,90,115,85,{water},125,It races around the world to purify fouled water. It dashes away with the north wind.,580,0.926829268292683,0.717391304347826,222.2222222222222,93.5,1,High,Low,High,Medium,High,Medium,Very High
246,larvitar,6,720,50,64,50,45,50,41,"{rock,ground}",126,"It feeds on soil. After it has eaten a large mountain, it will fall asleep so it can grow.",300,1.2,1.09,50.333333333333336,120.0,3,Very Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low
247,pupitar,12,1520,70,84,70,65,70,51,"{rock,ground}",126,"Its shell is as hard as sheet rock, and it is also very strong. Its THRASHING can topple a mountain.",410,1.1407407407407408,1.0642857142857143,94.22222222222221,126.66666666666667,3,Medium,Medium,Low,Low,Medium,Low,Medium
248,tyranitar,20,2020,100,134,110,95,100,61,"{rock,dark}",126,"Its body can't be harmed by any sort of attack, so it is very eager to make challenges against enemies.",600,1.2512820512820513,1.0904761904761904,467.0,101.0,3,High,High,High,High,High,Low,Very High
249,lugia,52,2160,106,90,130,90,154,110,"{psychic,flying}",127,It is said that it quietly spends its time deep at the bottom of the sea because its powers are too strong.,680,0.9016393442622951,0.6338028169014085,514.2222222222222,41.53846153846154,1,High,Medium,High,Medium,High,High,Very High
250,ho-oh,38,1990,106,130,90,110,154,90,"{fire,flying}",128,Legends claim this POKéMON flies the world's skies con­ tinuously on its magnificent seven- colored wings.,680,0.8333333333333334,0.9836065573770492,514.2222222222223,52.36842105263158,1,High,High,Medium,High,High,High,Very High
251,celebi,6,50,100,100,100,100,100,100,"{psychic,grass}",129,This POKéMON wan­ ders across time. Grass and trees flourish in the forests in which it has appeared.,600,1.0,1.0,0.0,8.333333333333334,1,High,Medium,High,High,High,High,Very High
252,treecko,5,50,40,45,35,65,55,70,{grass},130,TREECKO has small hooks on the bottom of its feet that enable it to scale vertical walls. This POKéMON attacks by slamming foes with its thick tail.,310,0.6666666666666666,1.2222222222222223,163.88888888888889,10.0,3,Very Low,Very Low,Very Low,Low,Low,Medium,Low
253,grovyle,9,216,50,65,45,85,65,95,{grass},130,The leaves growing out of GROVYLE’s body are convenient for camouflaging it from enemies in the forest. This POKéMON is a master at climbing trees in jungles.,405,0.7333333333333333,1.3636363636363635,314.5833333333333,24.0,3,Very Low,Low,Very Low,Medium,Low,High,Low
254,sceptile,17,522,70,85,65,105,85,120,{grass},130,The leaves growing on SCEPTILE’s body are very sharp edged. This POKéMON is very agile - it leaps all over the branches of trees and jumps on its foe from above or behind.,530,0.7894736842105263,1.2666666666666666,363.8888888888889,30.705882352941178,3,Medium,Medium,Low,High,Medium,High,Very High
255,torchic,4,25,45,60,40,70,50,45,{fire},131,"TORCHIC sticks with its TRAINER, following behind with unsteady steps. This POKéMON breathes fire of over 1,800 degrees F, including fireballs that leave the foe scorched black.",310,0.8333333333333334,1.4444444444444444,105.55555555555554,6.25,3,Very Low,Low,Very Low,Medium,Very Low,Very Low,Low
256,combusken,9,195,60,85,60,85,60,55,"{fire,fighting}",131,"COMBUSKEN toughens up its legs and thighs by running through fields and mountains. This POKéMON’s legs possess both speed and power, enabling it to dole out ten kicks in one second.",405,1.0,1.4166666666666667,156.25,21.666666666666668,3,Low,Medium,Low,Medium,Low,Low,Low
257,blaziken,19,520,80,120,70,110,70,80,"{fire,fighting}",131,"In battle, BLAZIKEN blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this POKéMON’s wrists burn.",530,1.0555555555555556,1.6428571428571428,380.5555555555555,27.36842105263158,3,Medium,High,Low,High,Medium,Medium,Very High
258,mudkip,4,76,50,70,50,50,50,40,{water},132,"The fin on MUDKIP’s head acts as highly sensitive radar. Using this fin to sense movements of water and air, this POKéMON can determine what is taking place around it without using its eyes.",310,1.2,1.2,80.55555555555556,19.0,3,Very Low,Low,Very Low,Low,Very Low,Very Low,Low
259,marshtomp,7,280,70,85,70,60,70,50,"{water,ground}",132,"The surface of MARSHTOMP’s body is enveloped by a thin, sticky film that enables it to live on land. This POKéMON plays in mud on beaches when the ocean tide is low.",405,1.1923076923076923,1.0357142857142858,114.58333333333333,40.0,3,Medium,Medium,Low,Low,Medium,Low,Low
260,swampert,15,819,100,110,90,85,90,60,"{water,ground}",132,SWAMPERT is very strong. It has enough power to easily drag a boulder weighing more than a ton. This POKéMON also has powerful vision that lets it see even in murky water.,535,1.1428571428571428,1.0833333333333333,236.80555555555557,54.6,3,High,High,Medium,Medium,High,Low,Very High
261,poochyena,5,136,35,55,35,30,30,35,{dark},133,"At first sight, POOCHYENA takes a bite at anything that moves. This POKéMON chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back.",220,1.5,1.3076923076923077,72.22222222222221,27.2,2,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
262,mightyena,10,370,70,90,70,60,60,70,{dark},133,MIGHTYENA gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This POKéMON will bite savagely with its sharply pointed fangs.,420,1.3333333333333333,1.1538461538461537,100.0,37.0,2,Medium,Medium,Low,Low,Low,Medium,Medium
263,zigzagoon,4,175,38,30,41,30,41,60,{normal},134,ZIGZAGOON restlessly wanders everywhere at all times. This POKéMON does so because it is very curious. It becomes interested in anything that it happens to see.,240,1.0,0.7317073170731707,101.0,43.75,3,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low
264,linoone,5,325,78,70,61,50,61,100,{normal},134,"LINOONE always runs full speed and only in straight lines. If facing an obstacle, it makes a right-angle turn to evade it. This POKéMON is very challenged by gently curving roads.",420,1.1801801801801801,0.9836065573770492,254.33333333333334,65.0,3,Medium,Low,Low,Low,Low,High,Medium
265,wurmple,3,36,45,45,35,20,30,20,{bug},135,"Using the spikes on its rear end,   WURMPLE peels the bark off trees and feeds on the sap that oozes out. This POKéMON’s feet are tipped with suction pads that allow it to cling to glass without slipping.",195,1.6,1.0,106.25,12.0,5,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
266,silcoon,6,100,50,35,55,25,25,15,{bug},135,"SILCOON tethers itself to a tree branch using silk to keep from falling. There,  this POKéMON hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole.",205,1.8,0.75,203.4722222222222,16.666666666666668,5,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Very Low
267,beautifly,10,284,60,70,50,100,50,65,"{bug,flying}",135,"BEAUTIFLY’s favorite food is the sweet pollen of flowers. If you want to see this POKéMON, just leave a potted flower by an open window. BEAUTIFLY is sure to come looking for pollen.",395,0.8,1.7,286.8055555555556,28.4,5,Low,Low,Very Low,High,Very Low,Low,Low
268,cascoon,7,115,50,35,55,25,25,15,{bug},135,"CASCOON makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This POKéMON prepares for its evolution inside the cocoon.",205,1.8,0.75,203.4722222222222,16.428571428571427,5,Very Low,Very Low,Low,Very Low,Very Low,Very Low,Very Low
269,dustox,12,316,60,50,70,50,90,65,"{bug,poison}",135,"DUSTOX is instinctively drawn to light. Swarms of this POKéMON are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food.",385,0.8571428571428571,0.625,186.80555555555554,26.333333333333332,5,Low,Very Low,Low,Low,High,Low,Low
270,lotad,5,26,40,30,30,40,50,30,"{water,grass}",136,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts.",220,0.6666666666666666,0.875,55.55555555555555,5.2,3,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
271,lombre,12,325,60,50,50,60,70,50,"{water,grass}",136,It lives at the water’s edge where it is sunny. It sleeps on a bed of water grass by day and becomes active at night.,340,0.7692307692307693,0.9166666666666666,55.55555555555555,27.083333333333332,3,Low,Very Low,Very Low,Low,Medium,Low,Low
272,ludicolo,15,550,80,70,70,90,100,70,"{water,grass}",136,"LUDICOLO begins dancing as soon as it hears cheerful, festive music. This POKéMON is said to appear when it hears the singing of children on hiking outings.",480,0.7368421052631579,0.9411764705882353,133.33333333333334,36.666666666666664,3,Medium,Low,Low,Medium,High,Medium,Medium
273,seedot,5,40,40,40,50,30,30,30,{grass},137,"SEEDOT attaches itself to a tree branch using the top of its head. It sucks moisture from the tree while hanging off the branch. The more water it drinks, the glossier this POKéMON’s body becomes.",220,1.5,0.875,55.55555555555555,8.0,3,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
274,nuzleaf,10,280,70,70,40,60,40,60,"{grass,dark}",137,NUZLEAF live in densely overgrown forests. They occasionally venture out of the forest to startle people. This POKéMON dislikes having its long nose pinched.,340,1.1,1.625,155.55555555555554,28.0,3,Medium,Low,Very Low,Low,Very Low,Low,Low
275,shiftry,13,596,90,100,60,90,60,80,"{grass,dark}",137,It lives quietly in the deep forest. It is said to create chilly winter winds with the fans it holds.,480,1.0666666666666667,1.5833333333333333,233.33333333333334,45.84615384615385,3,High,Medium,Low,Medium,Low,Medium,Medium
276,taillow,3,23,40,55,30,30,30,85,"{normal,flying}",138,"TAILLOW courageously stands its ground against foes, however strong they may be. This gutsy POKéMON will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry.",270,1.4166666666666667,1.4166666666666667,400.0,7.666666666666667,2,Very Low,Very Low,Very Low,Very Low,Very Low,Medium,Very Low
277,swellow,7,198,60,85,60,75,50,125,"{normal,flying}",138,"SWELLOW flies high above our heads, making graceful arcs in the sky. This POKéMON dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by SWELLOW’s clawed feet, preventing escape.",455,1.16,1.4545454545454546,611.8055555555555,28.285714285714285,2,Low,Medium,Low,Medium,Very Low,High,Medium
278,wingull,6,95,40,30,30,55,30,85,"{water,flying}",139,WINGULL has the habit of carrying prey and valuables in its beak and hiding them in all sorts of locations. This POKéMON rides the winds and flies as if it were skating across the sky.,270,0.7058823529411765,1.4166666666666667,400.0,15.833333333333334,2,Very Low,Very Low,Very Low,Low,Very Low,Medium,Very Low
279,pelipper,12,280,60,50,100,95,70,65,"{water,flying}",139,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill.",440,0.9090909090909091,0.8529411764705882,330.55555555555554,23.333333333333332,2,Low,Very Low,High,High,Medium,Low,Medium
280,ralts,4,66,28,25,25,45,35,40,"{psychic,fairy}",140,"RALTS senses the emotions of people using the horns on its head. This POKéMON rarely appears before people. But when it does, it draws closer if it senses that the person has a positive disposition.",198,0.625,1.1666666666666667,58.333333333333336,16.5,4,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
281,kirlia,8,202,38,35,35,65,55,50,"{psychic,fairy}",140,It is said that a KIRLIA that is exposed to the positive emotions of its TRAINER grows beautiful. This POKéMON controls psychokinetic powers with its highly developed brain.,278,0.5833333333333334,1.1111111111111112,127.22222222222223,25.25,4,Very Low,Very Low,Very Low,Low,Low,Low,Very Low
282,gardevoir,16,484,68,65,65,125,115,80,"{psychic,fairy}",140,"GARDEVOIR has the ability to read the future. If it senses impending danger to its TRAINER, this POKéMON is said to unleash its psychokinetic energy at full power.",518,0.5416666666666666,1.0555555555555556,600.5555555555555,30.25,4,Low,Low,Low,High,High,Medium,High
283,surskit,5,17,40,30,32,50,52,65,"{bug,water}",141,"From the tips of its feet, SURSKIT secretes an oil that enables it to walk on water as if it were skating. This POKéMON feeds on microscopic organisms in ponds and lakes.",269,0.6078431372549019,0.9523809523809523,148.80555555555554,3.4,2,Very Low,Very Low,Very Low,Low,Low,Low,Very Low
284,masquerain,8,36,70,60,62,100,82,80,"{bug,flying}",141,MASQUERAIN intimidates enemies with the eyelike patterns on its antennas. This POKéMON flaps its four wings to freely fly in any direction - even sideways and backwards - as if it were a helicopter.,454,0.6703296703296703,1.1111111111111112,185.8888888888889,4.5,2,Medium,Low,Low,High,Medium,Medium,Medium
285,shroomish,4,45,60,40,60,40,60,35,{grass},142,"SHROOMISH live in damp soil in the dark depths of forests. They are often found keeping still under fallen leaves. This POKéMON feeds on compost that is made up of fallen, rotted leaves.",295,1.0,0.6666666666666666,120.13888888888887,11.25,2,Low,Very Low,Low,Very Low,Low,Very Low,Very Low
286,breloom,12,392,60,130,80,60,60,70,"{grass,fighting}",142,"BRELOOM closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. This POKéMON’s fighting technique puts boxers to shame.",460,1.75,1.3571428571428572,622.2222222222221,32.666666666666664,2,Low,High,Medium,Low,Low,Medium,Medium
287,slakoth,8,240,60,60,60,35,35,30,{normal},143,"SLAKOTH lolls around for over twenty hours every day. Because it moves so little, it does not need much food. This POKéMON’s sole daily meal consists of just three leaves.",280,1.7142857142857142,1.0,180.55555555555557,30.0,3,Low,Low,Low,Very Low,Very Low,Very Low,Very Low
288,vigoroth,14,465,80,80,80,55,55,90,{normal},143,VIGOROTH is always itching and agitated to go on a wild rampage. It simply can’t tolerate sitting still for even a minute. This POKéMON’s stress level rises if it can’t be moving constantly.,440,1.4545454545454546,1.0,180.55555555555557,33.214285714285715,3,Medium,Medium,Medium,Low,Low,High,Medium
289,slaking,20,1305,150,160,100,95,65,100,{normal},143,"SLAKING spends all day lying down and lolling about. It eats grass growing within its reach. If it eats all the grass it can reach, this POKéMON reluctantly moves to another spot.",670,1.625,1.5454545454545454,1088.888888888889,65.25,3,High,High,High,High,Low,High,Very High
290,nincada,5,55,31,45,90,30,30,40,"{bug,ground}",144,NINCADA lives underground for many years in complete darkness. This POKéMON absorbs nutrients from the roots of trees. It stays motionless as it waits for evolution.,266,2.25,0.625,448.88888888888886,11.0,3,Very Low,Very Low,Medium,Very Low,Very Low,Very Low,Very Low
291,ninjask,8,120,61,90,45,50,50,160,"{bug,flying}",144,"NINJASK moves around at such a high speed that it cannot be seen, even while its crying can be clearly heard. For that reason, this POKéMON was long believed to be invisible.",456,1.35,1.4736842105263157,1631.6666666666667,15.0,3,Low,Medium,Very Low,Low,Very Low,High,Medium
292,shedinja,8,12,1,90,45,30,30,40,"{bug,ghost}",144,"SHEDINJA’s hard body doesn’t move - not even a twitch. In fact, its body appears to be merely a hollow shell. It is believed that this POKéMON will steal the spirit of anyone peering into its hollow body from its back.",236,2.25,1.6,707.2222222222223,1.5,3,Very Low,Medium,Very Low,Very Low,Very Low,Very Low,Very Low
293,whismur,6,163,64,51,23,51,23,28,{normal},145,"Normally, WHISMUR’s voice is very quiet - it is barely audible even if one is paying close attention. However, if this POKéMON senses danger, it starts crying at an earsplitting volume.",240,1.0,2.217391304347826,256.6666666666667,27.166666666666668,3,Low,Very Low,Very Low,Low,Very Low,Very Low,Very Low
294,loudred,10,405,84,71,43,71,43,48,{normal},145,LOUDRED’s bellowing can completely decimate a wood-frame house. It uses its voice to punish its foes. This POKéMON’s round ears serve as loudspeakers.,360,1.0,1.6511627906976745,256.6666666666667,40.5,3,Medium,Low,Very Low,Medium,Very Low,Low,Low
295,exploud,15,840,104,91,63,91,73,68,{normal},145,"EXPLOUD triggers earthquakes with the tremors it creates by bellowing. If this POKéMON violently inhales from the ports on its body, it’s a sign that it is preparing to let loose a huge bellow.",490,0.9390243902439024,1.338235294117647,213.8888888888889,56.0,3,High,Medium,Low,High,Medium,Medium,High
296,makuhita,10,864,72,60,30,20,30,25,{fighting},146,"MAKUHITA is tenacious - it will keep getting up and attacking its foe however many times it is knocked down. Every time it gets back up, this POKéMON stores more energy in its body for evolving.",237,1.8,1.3333333333333333,374.5833333333333,86.4,2,Medium,Low,Very Low,Very Low,Very Low,Very Low,Very Low
297,hariyama,23,2538,144,120,60,40,60,50,{fighting},146,It has the habit of challenging others without hesitation to tests of strength. It’s been known to stand on train tracks and stop trains using forearm thrusts.,474,1.8,1.3333333333333333,1498.3333333333333,110.34782608695652,2,High,High,Low,Very Low,Low,Low,Medium
298,azurill,2,20,50,20,40,20,40,20,"{normal,fairy}",90,A Pokémon that lives by water. It moves quickly on land by bouncing on its big tail.,190,1.0,0.5,147.22222222222226,10.0,3,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
299,nosepass,10,970,30,45,135,45,90,30,{rock},147,"NOSEPASS’s magnetic nose is always pointed to the north. If two of these POKéMON meet, they cannot turn their faces to each other when they are close because their magnetic noses repel one another.",375,1.3333333333333333,0.4,1456.25,97.0,2,Very Low,Very Low,High,Very Low,High,Very Low,Low
300,skitty,6,110,50,45,45,35,35,50,{normal},148,SKITTY has the habit of becoming fascinated by moving objects and chasing them around. This POKéMON is known to chase after its own tail and become dizzy.,260,1.2857142857142858,1.0,38.888888888888886,18.333333333333332,2,Very Low,Very Low,Very Low,Very Low,Very Low,Low,Very Low
301,delcatty,11,326,70,65,65,55,55,90,{normal},148,"DELCATTY prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this POKéMON eats and sleeps whenever it decides, its daily routines are completely random.",400,1.1818181818181819,1.0,138.88888888888889,29.636363636363637,2,Medium,Low,Low,Low,Low,High,Low
302,sableye,5,110,50,75,75,65,65,50,"{dark,ghost}",149,"SABLEYE lead quiet lives deep inside caverns. They are feared, however, because these POKéMON are thought to steal the spirits of people when their eyes burn with a sinister glow in the darkness.",380,1.1538461538461537,1.0,105.55555555555556,22.0,1,Very Low,Low,Medium,Low,Low,Low,Low
303,mawile,6,115,50,85,85,55,55,50,"{steel,fairy}",150,"MAWHILE’s huge jaws are actually steel horns that have been transformed. Its docile-looking face serves to lull its foe into letting down its guard. When the foe least expects it, MAWHILE chomps it with its gaping jaws.",380,1.5454545454545454,1.0,238.8888888888889,19.166666666666668,1,Very Low,Medium,Medium,Low,Low,Low,Low
304,aron,4,600,50,70,100,40,40,30,"{steel,rock}",151,"This POKéMON has a body of steel. To make its body, ARON feeds on iron ore that it digs from mountains. Occasionally, it causes major trouble by eating bridges and rails.",330,2.125,0.7857142857142857,558.3333333333334,150.0,3,Very Low,Low,High,Very Low,Very Low,Very Low,Low
305,lairon,9,1200,60,90,140,50,50,40,"{steel,rock}",151,LAIRON tempers its steel body by drinking highly nutritious mineral springwater until it is bloated. This POKéMON makes its nest close to springs of delicious water.,430,2.3,0.7368421052631579,1180.5555555555554,133.33333333333334,3,Low,Medium,High,Low,Very Low,Very Low,Medium
306,aggron,21,3600,70,110,180,60,60,50,"{steel,rock}",151,AGGRON claims an entire mountain as its own territory. It mercilessly beats up anything that violates its environment. This POKéMON vigilantly patrols its territory at all times.,530,2.4166666666666665,0.7083333333333334,2047.222222222222,171.42857142857142,3,Medium,High,High,Low,Low,Low,Very High
307,meditite,6,112,30,40,55,40,55,60,"{fighting,psychic}",152,"MEDITITE undertakes rigorous mental training deep in the mountains. However, whenever it meditates, this POKéMON always loses its concentration and focus. As a result, its training never ends.",280,1.0,0.7272727272727273,113.8888888888889,18.666666666666668,2,Very Low,Very Low,Low,Very Low,Low,Low,Very Low
308,medicham,13,315,60,60,75,60,75,80,"{fighting,psychic}",152,"It is said that through meditation, MEDICHAM heightens energy inside its body and sharpens its sixth sense. This POKéMON hides its presence by merging itself with fields and mountains.",410,1.0,0.8,72.22222222222223,24.23076923076923,2,Low,Low,Medium,Low,Medium,Medium,Medium
309,electrike,6,152,40,45,40,65,40,65,{electric},153,ELECTRIKE stores electricity in its long body hair. This POKéMON stimulates its leg muscles with electric charges. These jolts of power give its legs explosive acceleration performance.,295,0.8095238095238095,1.375,128.4722222222222,25.333333333333332,2,Very Low,Very Low,Very Low,Low,Very Low,Low,Very Low
310,manectric,15,402,70,75,60,105,60,105,{electric},153,"MANECTRIC is constantly discharging electricity from its mane. The sparks sometimes ignite forest fires. When it enters a battle, this POKéMON creates thunderclouds.",475,0.8181818181818182,1.5,361.8055555555556,26.8,2,Medium,Low,Low,High,Low,High,Medium
311,plusle,4,42,60,50,40,85,75,95,{electric},154,"PLUSLE always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this POKéMON shorts out its body to create the crackling noises of sparks to show its joy.",405,0.5625,1.173913043478261,372.9166666666667,10.5,1,Low,Very Low,Very Low,Medium,Medium,High,Low
312,minun,4,42,60,40,50,75,85,95,{electric},155,MINUN is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.,405,0.5625,0.8518518518518519,372.9166666666667,10.5,1,Low,Very Low,Very Low,Medium,Medium,High,Low
313,volbeat,7,177,65,73,75,47,85,85,{bug},156,"With the arrival of night, VOLBEAT emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This POKéMON is attracted by the sweet aroma of ILLUMISE.",430,1.121212121212121,0.75,170.2222222222222,25.285714285714285,1,Low,Low,Medium,Very Low,Medium,Medium,Medium
314,illumise,6,177,65,47,75,73,85,85,{bug},157,"With its sweet aroma, it guides Volbeat to draw signs with light in the night sky.",430,0.7721518987341772,0.75,170.2222222222222,29.5,1,Low,Very Low,Medium,Medium,Medium,Medium,Medium
315,roselia,3,20,50,60,45,100,80,65,"{grass,poison}",158,ROSELIA shoots sharp thorns as projectiles at any opponent that tries to steal the flowers on its arms. The aroma of this POKéMON brings serenity to living things.,400,0.5833333333333334,1.28,347.22222222222223,6.666666666666667,3,Very Low,Low,Very Low,High,Medium,Low,Low
316,gulpin,4,103,70,43,53,43,53,40,{poison},159,"Virtually all of GULPIN’s body is its stomach. As a result, it can swallow something its own size. This POKéMON’s stomach contains a special fluid that digests anything.",302,1.0,0.8113207547169812,102.55555555555554,25.75,2,Medium,Very Low,Low,Very Low,Low,Very Low,Very Low
317,swalot,17,800,100,73,83,73,83,55,{poison},159,"When SWALOT spots prey, it spurts out a hideously toxic fluid from its pores and sprays the target. Once the prey has weakened, this POKéMON gulps it down whole with its cavernous mouth.",467,1.0,0.8795180722891566,185.4722222222222,47.05882352941177,2,High,Low,Medium,Medium,Medium,Low,Medium
318,carvanha,8,208,45,90,20,65,20,65,"{water,dark}",160,CARVANHA’s strongly developed jaws and its sharply pointed fangs pack the destructive power to rip out boat hulls. Many boats have been attacked and sunk by this POKéMON.,305,1.2941176470588236,3.875,645.1388888888888,26.0,2,Very Low,Medium,Very Low,Low,Very Low,Low,Very Low
319,sharpedo,18,888,70,120,40,95,40,95,"{water,dark}",160,"Nicknamed “the bully of the sea,” SHARPEDO is widely feared. Its cruel fangs grow back immediately if they snap off. Just one of these POKéMON can thoroughly tear apart a supertanker.",460,1.1851851851851851,2.6875,880.5555555555557,49.333333333333336,2,Medium,High,Very Low,High,Very Low,High,Medium
320,wailmer,20,1300,130,70,35,70,35,60,{water},161,WAILMER’s nostrils are located above its eyes. This playful POKéMON loves to startle people by forcefully snorting out seawater it stores inside its body out of its nostrils.,400,1.0,2.0,1013.8888888888888,65.0,2,High,Low,Very Low,Medium,Very Low,Low,Low
321,wailord,145,3980,170,90,45,90,45,60,{water},161,"WAILORD is the largest of all identified POKéMON up to now. This giant POKéMON swims languorously in the vast open sea, eating massive amounts of food at once with its enormous mouth.",500,1.0,2.0,1847.222222222222,27.448275862068964,2,High,Medium,Very Low,Medium,Very Low,Low,High
322,numel,7,240,60,60,40,65,45,35,"{fire,ground}",162,"NUMEL is extremely dull witted - it doesn’t notice being hit. However, it can’t stand hunger for even a second. This POKéMON’s body is a seething cauldron of boiling magma.",305,0.9090909090909091,1.4705882352941178,128.4722222222222,34.285714285714285,2,Low,Low,Very Low,Low,Very Low,Very Low,Very Low
323,camerupt,19,2200,70,100,70,105,75,40,"{fire,ground}",162,"CAMERUPT has a volcano inside its body. Magma of 18,000 degrees F courses through its body. Occasionally, the humps on this POKéMON’s back erupt, spewing the superheated magma.",460,0.9444444444444444,1.4137931034482758,463.88888888888886,115.78947368421052,2,Medium,Medium,Low,High,Medium,Very Low,Medium
324,torkoal,5,804,70,85,140,85,70,20,{fire},163,You can tell how it’s feeling by the smoke spouting from its shell. Tremendous velocity is a sign of good health.,470,1.4516129032258065,0.8095238095238095,1238.888888888889,160.8,1,Medium,Medium,High,Medium,Medium,Very Low,Medium
325,spoink,7,306,60,25,35,70,80,60,{psychic},164,"SPOINK bounces around on its tail. The shock of its bouncing makes its heart pump. As a result, this POKéMON cannot afford to stop bouncing - if it stops, its heart will stop.",330,0.4,0.8260869565217391,366.6666666666667,43.714285714285715,2,Low,Very Low,Very Low,Medium,Medium,Low,Low
326,grumpig,9,715,80,45,65,90,110,80,{psychic},164,"GRUMPIG uses the black pearls on its body to amplify its psychic power waves for gaining total control over its foe. When this POKéMON uses its special power, its snorting breath grows labored.",470,0.55,0.7714285714285715,405.5555555555556,79.44444444444444,2,Medium,Very Low,Low,Medium,High,Medium,Medium
